,Abiesconcolor,Acmisponheermanniivarheermannii,Alnusrhombifolia,Angelicatomentosa,Aquilegiaformosa,Arctostaphylospungens,Artemisiadracunculus,Bromuscarinatusvarcarinatus,Calocedrusdecurrens,Carexfracta,Ceanothuspalmeri,Elymuselymoides,Erigeronfoliosusvarfoliosus,Eriogonumwrightiivarmembranaceum,Galiumangustifolium,Lepidiumvirginicum,Lonicerasubspicatavardenudata,Lupinuslatifolius,Muhlenbergiarigens,Penstemonlabrosus,Pinuslambertiana,Pinusponderosa,Pteridiumaquilinumvarpubescens,Quercus,Rhododendronoccidentale,Ribesnevadense,Salixlasiolepis,Scutellariasiphocampyloides,Sisymbriumaltissimum,Thalictrumfendlerivarfendleri
Otu1,1842,2282,6680,422,6065,962,2357,3766,1729,661,1217,1409,3577,29,2747,4831,3792,338,5059,353,2717,2366,2010,1322,1297,1934,5258,2293,814,2091
Otu48893,419,527,1379,83,1292,228,458,965,367,123,267,333,748,3,584,918,669,52,1016,74,550,452,444,304,256,401,1243,512,141,387
Otu79,0,2,0,12254,0,0,190,0,0,90,0,3,0,67,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0
Otu21671,326,311,1005,58,795,155,391,662,230,110,225,209,512,1,450,647,457,19,756,50,377,336,330,211,162,362,824,366,97,308
Otu68,0,633,0,19,0,0,727,0,2,91,6846,40,13,27,5,0,584,0,0,0,0,0,657,237,0,0,0,66,27,544
Otu71365,315,319,955,44,806,133,358,616,227,90,180,201,503,5,401,645,444,23,757,63,364,305,320,176,178,294,913,391,97,312
Otu173,0,0,0,0,0,0,21,0,0,2936,0,0,10,0,265,103,5,0,0,6233,0,0,0,0,0,0,0,50,16,4
Otu32145,250,291,820,57,810,116,281,506,233,75,142,198,442,0,331,551,329,31,623,41,390,271,274,172,141,254,736,313,82,264
Otu263,231,10,0,6,0,75,178,3871,18,1492,9,116,21,2,12,0,31,291,0,0,0,1,90,26,0,0,150,1099,148,9
Otu158,60,71,0,17,11,337,435,35,269,137,324,2378,251,31,394,48,250,803,39,0,53,16,306,237,208,56,153,315,5,53
